,,,,,,,,,,
,,,,,,,,,,
Sl. No.,Name of NGOs,Address,Reg. No,Reg. Date,Renewed on,Valid till,District,Country,Remarks,
289,Bangladesh Association for the Aged & Institute of Geriatric Medicine,"Agargaon, Sher-e-Bangla Nagar, Dhaka",0429,09-01-91,,09-01-96,Dhaka,Bangladesh,,
290,Bangladesh Association for Voluntry Sterilization (BAVS),"Plot-7/5, Section-2, Mirpur Housing Estate, Dhaka
Phone : 8016413-4",0119,14-01-82,,14-01-87,Dhaka,Bangladesh,,
291,Bangladesh Association of Women for Self Empowerment(BAWSE),"322/2 North Goran, Shipahibagh, Dhaka-1219
Phone: 7210627",1349,17-02-99,17-02-14,17-02-19,Dhaka,Bangladesh,,
292,Bangladesh Auxiliary Services for Social Advancement (BASSA),"45/D, Senpara Parbata, Mirpur-10, Dhaka-1216
Phone: 8031425, Fax: 8033152
www.bassabd.org",0824,06-04-94,06-04-14,06-04-19,Dhaka,Bangladesh,,
293,Bangladesh Bible Society,"390, New Eskaton Road, Dhaka Phone : 8314459, 9332726
Fax: 8312996",0054,22-04-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
294,Bangladesh Birth Control & Family Welfare Association,"12/1, Chamelibag, Shahjalal Manzil, Shantinagar, Dhaka
Phone : 9339129",0186,20-11-85,20-11-07,20-11-12,Dhaka,Bangladesh,,
295,Bangladesh Blind Mission,"House-1292, Vill: Sonakhali, PO: Anghergora, UZ: Bhaluka, Mymensingh
Phone: 01714-328086",0858,25-09-94,26-09-14,26-09-19,Dhaka,Bangladesh,,
296,Bangladesh Brestfeeding Foundation,"IPH Building Room No. 197-200 (Gr. Floor), Mohakhali, Dhaka
Phone: 9860801 www.bbf-bd.org",1092,30-10-96,30-10-11,30-10-16,Dhaka,Bangladesh,,
297,Bangladesh Buddhist Missionary Society,"P.O. & Vill. Betagi, Rangunia, Chittagong
Phone: 031-671345
fax: 031-610098",0223,15-07-87,15-07-12,15-07-17,Chittagong,Bangladesh,,
298,Bangladesh Center for Advance Studies,"House-10, Road-16/A, Gulshan-1, Dhaka.
Phone: 8818124-27, Fax: 8852904
web: www.bcas.net",1057,18-08-96,18-08-11,18-08-16,Dhaka,Bangladesh,,
299,Bangladesh Center for Workers Solidarity (BCWS),"House-446 (Gr. Fl.), Rampura, Dhaka.
Phone: 7282025",2807,13-08-13,,13-08-18,Dhaka,Bangladesh,,
300,Bangladesh Centre for Communication Programs (BCCP),"House-08, Road-03, Block-A, Section- 11, Mirpur, Dhaka-1216
Phone: 9893362, 9891354, Fax:
8854512
www.bangladesh-ccp.org",1146,22-03-97,22-03-12,22-03-17,Dhaka,Bangladesh,,
301,Bangladesh Centre for Development Journalism & Communication,"65, Mymensingh Lane (4th Floor), Bangla Motor, Dhaka-1000  Phone : 8620539, 9669107
Web: www.bcdjc.com",0801,16-02-94,16-02-14,16-02-19,Dhaka,Bangladesh,,
302,Bangladesh Centre for Development Program,"House-322, Biswa Road, Arambagh, Chapainababganj.
01716-730704",2777,28-03-13,,28-03-18,Chapainababga nj,Bangladesh,,
303,Bangladesh Chashi Kallyan Samity,"52/1, New Eskaton Road, Hasan Holdings (14th Floor), Dhaka-1000 Phone: 9351101",1997,11-01-05,11-01-15,11-01-20,Dhaka,Bangladesh,,
304,Bangladesh Council for Child Welfare,"22/1, Topkhana Road, Dhaka",0499,18-07-91,18-07-97,18-07-02,Dhaka,Bangladesh,,
305,Bangladesh Daridra Bimochan Sangstha,"PO & Upazila: Charfashion, Bhola Phone: 01716-194593",2984,10-11-15,,10-11-20,Bhola,Bangladesh,,
306,Bangladesh Development Initiative,"125, 9/A (Old), Shankar, Dhanmondi, Dhaka-1209.",2433,30-04-09,,30-04-14,Dhaka,UK,,
307,Bangladesh Development Partnership Centre (BDPC),"19/Ka, Pisciculture, Ring Rd, Dhaka. Phone : 9119624",0946,20-06-95,20-06-05,20-06-10,Dhaka,Bangladesh,,
308,Bangladesh Development Service Centre,"House # 298, Road # 2, Baitul Aman Housing Society, Adabor, Dhaka.
Phone : 8121826, 8127226
Cell: 0171218661",0139,03-02-83,15-05-15,15-05-20,Dhaka,Bangladesh,,
309,Bangladesh Development Society (BDS),"BDS Bhaban, 5 Sadar Road, Barisal- 8200
Phone: 0431-64620",0172,19-11-84,15-05-15,15-05-20,Barisal,Bangladesh,,
310,Bangladesh Dev-Tec Associates,"House-67C, Road-11, Block-E, Banani Model Town, Dhaka Phone : 8819918",1586,26-11-00,26-11-05,26-11-10,Dhaka,Bangladesh,,
311,Bangladesh Disabled Development Trust-BDDT,"House-3(G.F.), Popular Housing#2, Barabagh, Mirpur-2, Dhaka-1216. Phone: 01819-116055, 8501563
www.bddt.org",2429,28-04-09,28-04-14,28-04-19,Dhaka,Bangladesh,,
312,Bangladesh Disaster Preparedness Center,"House-15/A, Road-08, Gulshan, Dhaka-1212
Phone: 9862169, Fax: 9862169
www.bdpc.org.bd",1043,27-05-96,27-05-16,27-05-21,Dhaka,Bangladesh,,
313,Bangladesh Dristihin Foundation (B.D.F.),"5/17, Humayun Road, Block-B, Mohammadpur, Dhaka
Phone : 815792",0444,26-02-91,26-02-96,26-02-01,Dhaka,Bangladesh,,
314,Bangladesh Dynamic Society,"11, Lake Circus Girls School Road, North Dhanmondi, Kalabagan, Dhaka-1205",2145,10-10-06,,10-10-11,Dhaka,Bangladesh,,
315,Bangladesh Education & Technology Society,"69, Outer Circular Road, Baro Moghbazer, Dhaka.
Phone: 01761-866234",2703,28-05-12,,28-05-17,Dhaka,Bangladesh,,
316,Bangladesh Environment & Development Society (BEDS),"House-83/3, Hazi Ismail Road, Banorgati, Khulna
Phone: 01712-868004",2784,02-05-13,,02-05-18,Khulna,Bangladesh,,
317,"Bangladesh Environment, Health and Education Program (BEHEP)","House-169, East Kafrul, Dhaka.",2208,08-03-07,,08-03-12,Dhaka,Bangladesh,,
318,Bangladesh Environmental Lawyers Association (BELA),"House-15/A, Road-3, Dhanmondi R/A, Dhaka.
Phone :8614283, Fax: 8612957
www.belabangla.org",0713,13-06-93,13-06-13,13-06-18,Dhaka,Bangladesh,,
319,Bangladesh Evergreen Hosanna Council International,"House-41, Road-14, Sector-14, Uttara, Dhaka.
Phone: 0666262107",2158,12-11-06,,12-11-11,Dhaka,Bangladesh,,
320,Bangladesh Every Home Contact,"38, Dilu Road, New Eskatan, Dhaka Phone : 9332714",0087,22-04-81,15-05-15,15-05-20,Dhaka,USA,,
321,Bangladesh Extension Education Service (BEES),"Eastern Road, Lane-02, New DOHS, Mohakhali, Dhaka-1206.
Phone: 9889732, Fax: 9891579
www.bees_bd.org",0527,26-08-91,26-08-11,26-08-16,Dhaka,Bangladesh,,
322,Bangladesh Eye Care Society,"125/3, Darus Salam Road, Mirpur, Dhaka.
Phone: 8034341",0677,19-01-93,19-01-08,19-01-13,Dhaka,Bangladesh,,
323,Bangladesh Fellowship Foundation,"32 Mallika Housing Society, Dhaka Phone: 8052660",2717,12-07-12,,12-07-17,Dhaka,Bangladesh,,
324,Bangladesh Female Academy,"Derai, Sunamganj. Phone: 71659800",2634,06-04-11,,06-04-16,Sunamganj,Bangladesh,,
325,Bangladesh Freedom Foundation,"Level-5, 6/5 A, Sir Syed Road, Mohammadpur, Dhaka,
Phone: 8113258, 01711-007941-2",1257,20-04-98,20-04-13,20-04-18,Dhaka,Bangladesh,,
326,Bangladesh Friendship Education Society (BFES),"11/8 Iqbal Road, Mohammadpur, Dhaka.
Phone : 9124659, 9116938
www.bfes.net",0819,10-03-94,10-03-14,10-03-19,Dhaka,Bangladesh,,
327,Bangladesh Fund Raising Group (BFRG),"29/A, Saat Masjid Road, Mohammadpur, Dhaka",1564,17-09-00,,17-09-05,Dhaka,Bangladesh,,
328,Bangladesh Gram Bikash Sangstha,"House-188, SM, College Road, Sadar, Magura-7600
Phone: 01711-521879",1438,19-10-99,19-10-14,19-10-19,Magura,Bangladesh,,
329,Bangladesh Health Foundation,"68, West Rajabazar, Dhaka.",2051,21-12-05,,21-12-10,Dhaka,Bangladesh,,
330,Bangladesh Helpless Assistance Rural Organisation For Social Advancement (BHAROSA),"657/B, Boro Moghbazar, Gabtola, Dhaka-1217
Phone: 01191-510405",1552,09-08-00,14-08-10,14-08-15,Natore,Bangladesh,,
331,Bangladesh Hospital Trust,"Cha-672, North Badda, Badda, Dhaka.
Phone : 9887672",1239,23-02-98,23-02-08,23-02-13,Dhaka,Bangladesh,,
332,Bangladesh Human Rights & Resources Development Society,"House-35 (New), Road-15 (New), Old-28, Dhanmondi, Dhaka.
Phone: 01721-789521",2793,10-06-13,,10-06-18,Dhaka,Bangladesh,,
333,Bangladesh Ideal Youth Development Centre (BIYDC),"Alinagar (Near Sanddya Cinema Hall), Chapainababgonj.
Phone: 0781-61933, 0781-51325",1947,21-07-04,21-07-14,21-07-19,Chapainababga nj,Bangladesh,,
334,Bangladesh Ignight Youth Society (BIYS),"Shibtola, Post+Dist.: Chapainobabgonj. Phone: 0781-56168",2088,12-04-06,12-04-16,12-04-21,Chapainababga nj,Bangladesh,,
335,Bangladesh Institute of Apiculture (BIA),"13A/7A, Babar Road, Block-B, Mohammadpur, Dhaka.
Phone : 9111585",0168,31-07-84,15-05-10,15-05-15,Dhaka,Bangladesh,,
336,Bangladesh Institute of Islamic Thought (BIIT),"House-04, Road-02, Section-09, Uttara Model Town, Dhaka.
Phone: 8950227, 711471, Fax:
8950227
Cell: 01554-357066",1049,30-06-96,30-06-11,30-06-16,Dhaka,Bangladesh,,
337,Bangladesh Institute of Labour Studies (BILS),"House-20(3rd Fl.), Road-11 (New), 32 (Old), Dhanmondi R/A, Dhaka- 1209
Phone: 9143236, Fax: 8114820
www.bills-bd.org",1198,14-10-97,14-10-12,14-10-17,Dhaka,Bangladesh,,
338,Bangladesh Institute of Research and Development(BIRD),"Miahbari, Fishery Gate Primary School Road, Chandpur.
Phone: 0841-66406",1928,10-05-04,10-05-14,10-05-19,Chandpur,Bangladesh,,
339,Bangladesh Institute of Theater Arts (BITA),"753 Mehedibagh, Chittagong
Phone: 031-618562
www.bita-bd.org",0873,12-12-94,12-12-14,12-12-19,Chittagong,Bangladesh,,
340,Bangladesh Integrated Community Development (BICD),"House-602 (New), Shamser Molla Road, Kajla, Rajshahi-6204.",1960,13-09-04,,13-09-09,Rajshahi,Bangladesh,,
341,Bangladesh Integrated Rural Based Association (BIRBA),"Bashati Rainbow, House-53, Road- 01, Block-1, Banani, Dhaka
Phone: 01711-693788",1033,04-05-96,04-05-11,04-05-16,Dhaka,Bangladesh,"Cancelled on 12/04/2010,
Revived on 19/10/2015",
342,Bangladesh Integrated Social Advancement Program (BISAP),"House-193, Road-8, Block-B, Chandgaon R/A, Chittagong Phone : 2571315, Fax: 610029
www.bisapbd.org",0659,22-10-92,22-10-12,22-10-17,Chittagong,Bangladesh,,
343,Bangladesh Inter Religious Council for Peace And Justice (BICPAJ),"4/10, Iqbal Road, Mohammadpur, Dhaka
Phone : 328707",0877,24-12-94,,24-12-99,Dhaka,Bangladesh,,
344,Bangladesh Japan Institutional Social Welfare Organization,"House # 1862, Block-4, Matrisadan Road, Jamalpur.",1044,03-06-96,,03-06-01,Jamalpur,Japan,,
345,"Bangladesh Jatio Andha Kallyan Samity, Comilla","Shankorpur, Alekharchar (Bishwa Road), Comilla-3500
Phone: 081-68004",0891,28-01-95,23-01-15,23-01-20,Comilla,Bangladesh,,
346,Bangladesh Jatiyatabadi Kallyan Parishad.,"102, Kazi Nazrul Islam Avenue, BSEC Bhaban (8th floor), Kawran Bazar, Dhaka.",1793,02-03-03,,02-03-08,Dhaka,Bangladesh,,
347,Bangladesh Jatiyo Mohila Ainjibi Samity,"Monico Mina Tower, 48/3 West Agargaon, Sher-E-Bangla Nagar, Dhaka-1207
Phone: 8112858, 01911343402
Fax: 8112858, 8123060",0506,30-07-91,30-07-11,30-07-16,Dhaka,Bangladesh,,
348,Bangladesh Labour Research Institute,"Megolia, Madhubi-6/3, 89 Senpara Parbota, Mirpur-10, Dhaka-1216 Phone: 01552-364029, Fax: 9880640",2174,17-12-06,17-12-11,17-12-16,Dhaka,Bangladesh,,
349,Bangladesh Labour Welfare Foundation,"F. Hoque Tower, Level-7, 107 Beer Uttam C.R. Datta Road, Dhaka.
Phone: 9673851 www.blf-bd.org",2663,20-11-11,20-11-16,20-11-21,Dhaka,Bangladesh,,
350,"Bangladesh Legal Aid and Services Trust, The","1/1, Pioneer Road, Kakrail, YMCA Development Centre (3rd Fl.), Dhaka-1000
Phone: 8391970, Fax: 8391973",0786,19-12-93,19-12-13,19-12-18,Dhaka,Bangladesh,,
351,"Bangladesh Lutheran Mission, Danish (BLM-D)","3/13, Iqbal Road, Mohammadpur, Dhaka
Phone : 9129747",0103,03-09-81,15-05-05,15-05-10,Dhaka,Denmark,,
352,"Bangladesh Lutheran Mission, Finnish","Bangabaria, Naogaon-6500 Phoe: 0741-62421",0049,22-04-81,15-05-15,15-05-20,Naogaon,Finland,,
353,"Bangladesh Lutheran Mission, Norwegian (BLM-N)","House # 50, Road # 1, Banani, Dhaka Phone :",0128,11-04-82,,11-04-87,Dhaka,Norway,,
354,Bangladesh Manabadhikar Commission,"222/Kha, Malibag (1st Floor), Flat-C- 2, Dhaka-1217. Tel: 88-02-9361353.",1605,02-01-01,02-01-06,02-01-11,Dhaka,Bangladesh,,
355,Bangladesh Manabadhikar Samannoy Parishad,"4/17 Humayun Road, Mohammadpur, Dhaka.
Phone : 9125270, 01718-421203",0440,06-02-91,06-02-96,06-02-01,Dhaka,Bangladesh,,
356,Bangladesh Mannobadikhar Sangbadik Forum,"House-706, Road-11, Baitul Aman Housing Society, Adabor, Dhaka- 1207
Phone: 9141462, Fax: 8141837",2449,01-06-09,01-06-14,01-06-19,Dhaka,Bangladesh,,
357,Bangladesh Maobadhiker O Paribesh Andolon,"Flat-B(3), Total Barnali 2/F/2, Mymensingh Road, Shahbagh, Dhaka
Phone: 01771-202776",2941,23-07-15,,23-07-20,Dhaka,Bangladesh,,
358,Bangladesh Marma Buddisht Association (BMBA),"8A/A, Tajmohal Road, Mohammadpur, Dhaka, Phone : 8113483",1298,22-10-98,22-10-08,22-10-13,Dhaka,Bangladesh,,
359,Bangladesh Masjid Mission,"Central Mosque Kataban, New Elephent Road, Dhaka
Phone : 503806",0656,10-10-92,10-10-07,10-10-12,Dhaka,Bangladesh,,
360,Bangladesh Medical Relief Dhaka Foundation,"3, Motijheel Inner Circular Road, Dhaka
Phone : 9332233",1689,30-09-01,,30-09-06,Dhaka,Bangladesh,,
361,Bangladesh Migrant Welfare Organization,"260/3 East Rampura, Dhaka-1219 Phone: 01917-617098",2379,22-07-08,22-07-13,22-07-18,Dhaka,Bangladesh,,
362,Bangladesh Mission Foreign Mission Board Southern Baptist Convension,"2, Mirpur Road, Kalyanpur, Dhaka Phone : 8054224, Fax: 8013580",0044,27-08-81,15-05-10,15-05-15,Dhaka,USA,,
363,Bangladesh Mohila Parishad,"Sufia Kamal Bhaban, 10/B/1, Segunbagicha, Dhaka
Phone : 7169701, Fax: 9563529
www.mahilaparishad.org",0669,29-11-92,29-11-12,29-11-17,Dhaka,Bangladesh,,
364,Bangladesh Mohila Samity,"4, Natok Sarani, Baily Road, Dhaka Phone : 9337050",0501,18-07-91,18-07-11,18-07-16,Dhaka,Bangladesh,,
365,Bangladesh Mohila Sangha,"50, Kabi Nazrul Islam Road, Firingi Bazar, Chittagong",0515,07-08-91,,07-08-96,Chittagong,Bangladesh,,
366,Bangladesh Mohila Sangha Narayanganj,"126/11, Uttar Chashara, Chandmari, Narayanganj
Phone : 9712875",1195,06-10-97,06-10-07,06-10-12,Narayanganj,Bangladesh,,
367,Bangladesh Mohila Unnayan Samity,"Dapunia, Gouripur, Mymensingh Phone : 09024-56100
Mobile: 01711-350196",1211,06-11-97,06-11-12,06-11-17,Mymensingh,Bangladesh,,
368,Bangladesh Mohila Unnayan Sangstha (BAMUS),"Vill.: Karigram (New Gohati), Post: Ratangonj, District: Narail",2302,31-01-08,,31-01-13,Narail,Bangladesh,,
369,Bangladesh Nari Adhiker Bastabayan Sangstha,"H-16, Rd.-14, Sector-12, Uttara Mobil Town, Dhaka.
Phone : 8953148,8923996",0921,13-03-95,14-03-00,14-03-05,Dhaka,Bangladesh,,
370,Bangladesh Nari Progati Sangha,"Kolpona Sundor, 13/14, Babor Road, Block-B, Mohammadpur Housing Estate, Dhaka.
Phone : 8111323, 8124899
Fax: 9120633",0271,29-09-88,29-09-13,29-09-18,Dhaka,Bangladesh,,
371,Bangladesh National Society for the Blind (BNSB),"P.O. Box - 729, Pahartali, Chittagong.
Phone : 031-659017
www.ctgeyeinfimary.info",0065,22-04-81,15-05-15,15-05-20,Chittagong,Bangladesh,,
372,Bangladesh Nature Foundation,"Kuhinoor Villa, Village: Pathi Villa, PO: Gorakgata, Maheshkhali, Cox'sBazar
Phone: 01712-216699",2829,03-11-13,,03-11-18,Cox'sBazar,Bangladesh,,
373,Bangladesh Nazarene Mission,"House-16, Road-14, Sector-12, Uttara, Dhaka
Phone: 7920184, fax: 7920184
www.nazarenebd.org",0846,08-08-94,08-08-14,08-08-19,Dhaka,Bangladesh,,
374,Bangladesh NGOs Network for Radio and Communication (BNNRC),"House-13/1, Road-2, Shamoly,
Dhaka-1207
phone: 9130750, 9138501,
01711881647
Fax: 02-9138501-105",2023,30-03-05,30-03-15,30-03-20,Dhaka,Bangladesh,,
375,"Bangladesh Occupational Health, Safety and Environment Foundation","44 F/6, West Panthapath, Dhaka. Phone: 8143795, 9139079
Fax: 8143795",2134,21-09-06,21-09-11,21-09-16,Dhaka,Bangladesh,,
376,Bangladesh Organation for Social Service (BOSS),"Vill. Dwip Char, Post Char Ashutampur, Thana: Pabna, Dist. Pabna.
Phone: 0731-53045.",0844,02-08-94,02-08-09,02-08-14,Pabna,Bangladesh,,
377,Bangladesh Organisation for Disabled Advancement (BODA),"Plot-01, Road-03, Block-D, Section- 02, Mirpur, Dhaka.
Phone: 8054832, 8058725
Fax: 8010667
www.bodain.org",1407,10-08-99,10-08-09,10-08-14,Dhaka,Bangladesh,,
378,Bangladesh Ovibashi Mohila Sramik Association,"132, Darus Salam (3rd Fl.), Mirpur, Dhaka
Phone: 8091560, Fax: 8091559",1920,13-04-04,13-04-14,13-04-19,Dhaka,Bangladesh,,
379,Bangladesh Peace and Development Mission,"House-19, Road-30, Rupnagar, Mirpur, Dhaka-1216.
Phone: 8035758
www: bpdmbangladesh.org",2585,01-07-10,01-07-15,01-07-20,Dhaka,Bangladesh,,
380,Bangladesh Poor Women Development Association (BPWDA),"724, Shayorapara, Mirpur, Dhaka- 1216 Phone : 8052681, 9020189",1616,03-01-01,30-01-16,30-01-21,Dhaka,Bangladesh,,
381,Bangladesh Population Crisis Committee,"House-536 (2nd Floor), Road-07 (ew), Mirpur DOHS, Dhaka Phone: 01720-562866",0360,22-02-90,22-02-15,22-02-20,Dhaka,Bangladesh,,
382,Bangladesh Poush,"10/10, Iqbal Road, Block # A, Mohammadpur, Dhaka
Phone : 8117948, fax: 9129953
www.bdpoush.org",0587,01-11-92,11-01-12,11-01-17,Dhaka,Bangladesh,,
383,Bangladesh Poverty Alleviation Co-Movement (BPAC),"Akota Nir, Plot # 6, 211, Malibagh, Dhaka",1042,27-05-96,,27-05-01,Dhaka,Bangladesh,,
384,Bangladesh Pratibandi Kalyan Somity (BPKS),"BPKS Complex, Dakkhin Khan, Uttara, Dhaka.
Phone : 8923915, 8960077
Fax: 8960078
www.bpksbd.org",0362,03-03-90,03-03-15,03-03-20,Dhaka,Bangladesh,,
385,Bangladesh Progoti Sangstha (BPS),"Vill & P.O: Tarash, Sirajganj. Phone: 07528-56242",0350,30-01-90,30-01-10,30-01-15,Sirajganj,Bangladesh,,
386,Bangladesh Protibandhi Foundations,"6, Borobag, Mirpur-2, Dhaka-1216 Phone: 8023690",0189,20-11-85,20-11-10,20-11-15,Dhaka,Bangladesh,,
387,Bangladesh Protibandhi Unnayan Sangstha (BPUS),"Post Code- 8240,Post+Upazila: Agailjhara, Dist. Barisal.
Phone : 04323, 56359, Fax: 04323-
56269
www.bpusbd.org",1617,03-01-01,30-01-16,30-01-21,Barisal,Bangladesh,,
388,Bangladesh Protibandi Progati Sangstha -BPPS,"Modern Mansion (6th Floor), 53, Motijheel C/A, Dhaka.
Phone: 7173785",1356,18-03-99,18-03-04,18-03-09,Dhaka,Bangladesh,,
389,Bangladesh Rehabilitation Center for Troma Victimes,"27, Bijoy Nagar (1st floor), Dhaka Phone : 9349851, 9355648
Fax: 8352166",1055,06-08-96,06-08-06,06-08-11,Dhaka,Bangladesh,,
390,Bangladesh Resource Improvement Trust (BRIT),"285, PC Garden, 3rd Floor, South Kallayanpur, Mirpur, Dhaka Phone: 8416721",2939,07-07-15,,07-07-20,Dhaka,Bangladesh,,
391,Bangladesh Rural Development (BRDC),"Khoyrabad, Post: Rahanpur, Upazila: Gomastapur, Dist.:  Chapainababgonj
Phone: 03751-000164, 01715-
234499",2290,22-11-07,22-11-12,22-11-17,Chapainababga nj,Bangladesh,,
392,Bangladesh Rural Advancement Society (BRAS),"Village & P.O. Mathbaria, Thana: Sahajadpur, Sirajganj",0827,07-05-94,,07-05-99,Sirajganj,Bangladesh,,
393,Bangladesh Rural Advancement through Voluntary Enterprises (BRAVE),"vill.: Mollapara, P.O.: Mollapara,
P.S. Agailzara, Dist.: Barisal.
Phone: 01711-132509
email: brave_bd@yahoo.com",0785,05-12-93,05-12-13,05-12-18,Dhaka,Bangladesh,,
394,Bangladesh Rural and Urban Development Organization (BRUDO),"House-49/5/B, Indira Road, Farm Gate, Dhaka.",2115,25-07-06,,25-07-11,Dhaka,Bangladesh,,
395,Bangladesh Rural Association for Development (BRAD),"Prabash Rest House(Old), Laksham Stadium, Laksham-3570, Comilla.",0759,19-10-93,,19-10-98,Comilla,Bangladesh,,
396,Bangladesh Rural Development Organization (BRDO),"Tokyo Tower, Wapda Road (Bus Stand), Jikorgacha, Jessore",2278,11-10-07,,11-10-12,Jessore,Bangladesh,,
397,Bangladesh Rural Economic Development (BRED),"Vill. Kaijurihat, P.O. Kaijurihat, Thana Sahazadpur, Sirajgonj",0953,28-06-95,,28-06-00,Sirajganj,Bangladesh,,
398,Bangladesh Rural Improvement Foundation (BRIF),"Hazi Nagar, P.O. Goaldhihi (Khanshama), Dinajpur Phone : 0531-89053
E-mail: info@brif.org",0907,20-02-95,20-02-05,20-02-10,Dinajpur,Bangladesh,,
399,Bangladesh Rural Integrated Ellevation Foundation,"House-143, Road-01, DOHS Baridhara, Dhaka.
Phone: 9888319, 9891742",2470,28-07-09,,28-07-14,Dhaka,Bangladesh,,
400,Bangladesh Rural Medical Association,"House-1107/A (5th Fl.), Baitul Aman H/S, Ring Road, Shyamoli, Dhaka Phone : 9121818",0853,27-08-94,27-08-09,27-08-14,Dhaka,Bangladesh,,
401,Bangladesh Scholarship Council (BSC),"875 Jubli Road (4th Floor), Chittagong.
Phone: 617283, Fax: 616930
www.bscbd.org",1961,13-09-04,13-09-14,13-09-19,Chittagong,Bangladesh,,
402,Bangladesh Shishu Adhikar Forum,"House-42/43 (Level-2), Road-2, Janata Cooperative Housing Society, Ringj road, Adabar, Dhaka-1207 Phone: 8110857, Fax: 9110017",0724,04-07-93,04-07-13,04-07-18,Dhaka,Bangladesh,,
403,Bangladesh Social Assistance and Rehabilitation Foundation (BSARF),"205(3rd Floor) Boro Bhat Mosque Road, Lalbag, Dhaka-1211
Phone: 01715-313828",2419,03-03-09,03-03-14,03-03-19,Dhaka,Bangladesh,,
404,Bangladesh Social Development Academy,"Edgah Residential Area, Dinajpur. Phone: 0531-61208, 01712-199980",2462,30-06-09,30-06-14,30-06-19,Dinajpur,Bangladesh,,
405,Bangladesh Social Development Organization (BASDO),"1425 South Dania, Shampur, Dhaka- 1236.",1980,09-11-04,,09-11-09,Dhaka,Bangladesh,,
406,Bangladesh Social Development Organization (BSDO),"Vill.: Uribunia, Post.: Rajbari, Thana: Nesarabad, Dist.: Pirojpur.",2217,03-04-07,03-04-12,03-04-17,Pirojpur,Bangladesh,,
407,Bangladesh Social Service (BSS),"43/4, Senpara Parbata, Mirpur-10, Dhaka.",0936,25-05-95,,25-05-00,Dhaka,Bangladesh,,
408,Bangladesh Society for Disabled,"25, Central Road, Dhanmondi, Dhaka.",1346,07-02-99,,07-02-04,Dhaka,Bangladesh,,
409,Bangladesh Society for the Enforcement of Human Rights,"04, College Road (Opposite to DU Fazlul Haque hall) Shahbag, Dhaka- 1000.
Phone: 01716-020500
www.bsehr.org",0163,18-04-84,15-05-15,15-05-20,Dhaka,Bangladesh,,
410,Bangladesh Sonali Sangstha,"Vill: Sialcot, Amtola, PO: Shial Coat, PS& Dist: Sirajganj.
Phone: 01718-280263",2772,10-03-13,,10-03-18,Sirajganj,Bangladesh,,
411,Bangladesh Sramajibi Mohila Samity,"Hospital Quarter Road, Sariakandi, Bogra
Phone: 01712-848234",0712,06-06-93,06-06-13,06-06-18,Bogra,Bangladesh,,
412,Bangladesh Telecentre Network,"1/17, Humayun Road, Block-B, Mohammadpur, Dhaka.
Phone: 9146313, Fax: 02-9145690
www.mission2011.net.bd",2445,31-05-09,,31-05-14,Dhaka,Bangladesh,,
413,Bangladesh Thalassaemia Samity,"Green Garden Tower, Level-6, 25A
& 25B, Green Road, Dhaka-1205 Phone: 9662239",1159,09-06-97,09-06-12,09-06-17,Dhaka,Bangladesh,,
414,Bangladesh Theological Seminary,"20 KB Fazlul Kd Road (Opp. Chittagong Medical College), Chittagong-4000
Phone: 031-653885",1789,19-01-03,19-01-13,19-01-18,Chittagong,Bangladesh,,
415,Bangladesh Unnayan Parishad,"D-50, Road-08, Block-D, Niketon, Gulshan-1, Dhaka.
Phone: 8835958-60, 8853962
Fax: 8850036
www.bup-bd.org",0359,22-02-90,22-02-05,22-02-10,Dhaka,Bangladesh,,
416,Bangladesh Village Development,"Vill: Chabikharpar, PO: Kathira, UZ: Agailjhara, Barisal",1520,09-05-00,09-05-15,09-05-20,Barisal,Bangladesh,,
417,Bangladesh Visually Impaired People's Society,"House-LA-52 (Gr. Floor), Post Office Road, Middle Badda, Dhaka-1212. Phone: 8837838, 01553-504205,
01818-292655
www.bvips.org",2338,20-04-08,20-04-13,20-04-18,Dhaka,Bangladesh,,
418,Bangladesh Watch Tower Society,"House-58, Block-B, Flat-A4, Road- 04, Banani, Dhaka
Phone: 882-7665, Fax: 8815179",1840,08-06-03,08-06-13,08-06-18,Dhaka,Bangladesh,,
419,Bangladesh Woman's Health Coalition,"House-806, Road-03, Baitul Aman Housing Society, Adabor, Shymoli, Dhaka-1207
Phone: 9131681-2",0127,20-10-82,15-05-15,15-05-20,Dhaka,Bangladesh,,
420,Bangladesh Youth Enterprise Advice and Help Center,"Apart-A-3, House-15 (2nd Floor), Road-12, Block-F, Niketon, Dhaka- 1212",2375,08-07-08,08-07-13,08-07-18,Dhaka,Bangladesh,,
421,Bangladesh Youth First Concerns (BYFC),"B-8/9 East Bhobanipur, Ghenda, Savar, Dhaka-1343
Phone: 7742036, 7742037",1266,27-05-98,27-05-13,27-05-18,Dhaka,Bangladesh,,
422,Bangladesh Youth Leadership Centre,"Flat-11/F, Jahanara Appartment, 42- 43, Siddeswari Circular Road, Dhaka.",2686,15-03-12,,15-03-17,Dhaka,Bangladesh,,
423,Bangladeshi Mental Health Association,"House-13, Road-1, Block-A, Sector- 11, Mirpur, Dhaka",1782,31-12-02,31-12-07,31-12-12,Dhaka,UK,,
424,Bangla-German Sampreti (BGS),"House-1/17 (1st Fl.), Block-B, Humayun road, Mohammadpur, Dhaka.
Phone : 9124318, 9118584
fax: 9124319",0633,30-06-92,30-06-12,30-06-17,Dhaka,Bangladesh,,
